Padstack Used	Location
ack name in the Bounding Box drawn in the mitikas.mcm file are listed below.
Padstack Used	Location
8965.	"L03-L04"	(2800.0 -5775.55)
8966.	"SMALL_PTH"	(2503.0 -5479.0)
8967.	"L01-L02"	(2610.0 -5595.0)
8968.	"L01-L02"	(2430.0 -5775.0)
8969.	"L01-L02"	(3330.0 -5955.0)
8970.	"L01-L02"	(3150.0 -6135.0)
8971.	"L01-L02"	(3330.0 -5595.0)
8972.	"L01-L02"	(3150.0 -5775.0)
8973.	"L01-L02"	(2610.0 -6315.0)
8974.	"L01-L02"	(2430.0 -6495.0)
8975.	"L01-L02"	(3150.0 -5415.0)
8976.	"L01-L02"	(2610.0 -5955.0)
8977.	"L01-L02"	(2430.0 -6135.0)
8978.	"L01-L02"	(3150.0 -6495.0)
8979.	"L01-L02"	(3330.0 -6315.0)
8980.	"L01-L02"	(2430.0 -5415.0)
8981.	"L09-L10"	(3230.0 -6230.0)
8982.	"L02-L03"	(3222.0 -4226.0)
8983.	"L01-L02"	(3150.0 -4155.0)
8984.	"L02-L03"	(2682.0 -4766.0)
8985.	"L01-L02"	(2610.0 -4695.0)
8986.	"L02-L03"	(2502.0 -4946.0)
8987.	"L01-L02"	(2430.0 -4875.0)
8988.	"L01-L02"	(3330.0 -3975.0)
8989.	"L02-L03"	(2682.0 -4046.0)
8990.	"L01-L02"	(2610.0 -3975.0)
8991.	"L02-L03"	(2330.0 -4093.0)
8992.	"L01-L02"	(2430.0 -4155.0)
8993.	"L02-L03"	(3222.0 -4586.0)
8994.	"L01-L02"	(3150.0 -4515.0)
8995.	"L01-L02"	(2430.0 -5235.0)
8996.	"L02-L03"	(2682.0 -5126.0)
8997.	"L01-L02"	(2610.0 -5055.0)
8998.	"L01-L02"	(3330.0 -4335.0)
8999.	"L01-L02"	(3330.0 -4695.0)
9000.	"L02-L03"	(3222.0 -4946.0)
9001.	"L01-L02"	(3150.0 -4875.0)
9002.	"L01-L02"	(3330.0 -5055.0)
9003.	"L01-L02"	(3150.0 -5235.0)
9004.	"L02-L03"	(2502.0 -4586.0)
9005.	"L02-L03"	(2711.0 -4315.0)
9006.	"L01-L02"	(2430.0 -4515.0)
9007.	"L01-L02"	(2610.0 -4335.0)
9008.	"L06-L07"	(2500.0 -4174.45)
9009.	"L06-L07"	(2174.45 -4500.0)
9010.	"L06-L07"	(2750.0 -4250.0)
9011.	"L06-L07"	(2825.55 -4500.0)
9012.	"L06-L07"	(2500.0 -4825.55)
9013.	"L06-L07"	(2250.0 -4750.0)
9014.	"L07-L08"	(2822.0 -4178.0)
9015.	"L09-L10"	(2822.0 -4178.0)
9016.	"L08-L09"	(2894.0 -4106.0)
9017.	"L08-L09"	(2106.0 -4894.0)
9018.	"L09-L10"	(2178.0 -4822.0)
9019.	"L07-L08"	(2178.0 -4822.0)
9020.	"L09-L10"	(2121.45 -4500.0)
9021.	"L09-L10"	(2500.0 -4878.55)
9022.	"L09-L10"	(2878.55 -4500.0)
9023.	"L09-L10"	(2500.0 -4121.45)
9024.	"L08-L09"	(2500.0 -4747.49)
9025.	"L08-L09"	(2747.49 -4500.0)
9026.	"L08-L09"	(2500.0 -4252.51)
9027.	"L08-L09"	(2252.51 -4500.0)
9028.	"L07-L08"	(2213.48 -4406.61)
9029.	"L07-L08"	(2786.52 -4593.39)
9030.	"L07-L08"	(2406.61 -4786.52)
9031.	"L07-L08"	(2593.39 -4213.48)
9032.	"L03-L04"	(2307.45 -4491.0)
9033.	"L04-L05"	(2199.45 -4535.0)
9034.	"SMALL_PTH"	(2503.0 -4479.0)
9035.	"L04-L05"	(2273.0 -4779.0)
9036.	"L03-L04"	(2196.0 -4849.0)
9037.	"L03-L04"	(2481.0 -4695.55)
9038.	"L04-L05"	(2553.0 -4773.55)
9039.	"L04-L05"	(2495.0 -4181.45)
9040.	"L03-L04"	(2546.0 -4284.45)
9041.	"L04-L05"	(2815.55 -4514.0)
9042.	"L03-L04"	(2712.55 -4477.0)
9043.	"L03-L04"	(2830.0 -4175.0)
9044.	"L04-L05"	(2751.0 -4250.0)
9045.	"L01-L02"	(3330.0 -4155.0)
9046.	"L01-L02"	(3150.0 -4335.0)
9047.	"L01-L02"	(2430.0 -5055.0)
9048.	"L01-L02"	(2610.0 -4875.0)
9049.	"L01-L02"	(3150.0 -3975.0)
9050.	"L01-L02"	(2430.0 -4695.0)
9051.	"L01-L02"	(2610.0 -4515.0)
9052.	"L06-L07"	(3174.45 -4500.0)
9053.	"L06-L07"	(3250.0 -4750.0)
9054.	"L06-L07"	(2500.0 -5174.45)
9055.	"L08-L09"	(3106.0 -4894.0)
9056.	"L07-L08"	(3178.0 -4822.0)
9057.	"L07-L08"	(2822.0 -5178.0)
9058.	"L08-L09"	(2894.0 -5106.0)
9059.	"L09-L10"	(3121.45 -4500.0)
9060.	"L08-L09"	(3252.51 -4500.0)
9061.	"L07-L08"	(3213.48 -4406.61)
9062.	"L09-L10"	(2500.0 -5121.45)
9063.	"L08-L09"	(2500.0 -5252.51)
9064.	"L07-L08"	(2593.39 -5213.48)
9065.	"L03-L04"	(2830.0 -5175.0)
9066.	"L02-L03"	(2294.0 -5127.0)
9067.	"L03-L04"	(2369.0 -5195.45)
9068.	"L04-L05"	(2495.0 -5181.45)
9069.	"L02-L03"	(3036.0 -4781.0)
9070.	"L03-L04"	(3101.0 -4863.0)
9071.	"L04-L05"	(3273.0 -4779.0)
9072.	"L04-L05"	(3199.45 -4535.0)
9073.	"L03-L04"	(3282.45 -4411.0)
9074.	"SMALL_PTH"	(3503.0 -4479.0)
9075.	"SMALL_PTH"	(3003.0 -4979.0)
9076.	"L02-L03"	(2082.0 -4198.0)
9077.	"L01-L02"	(3330.0 -4875.0)
9078.	"L01-L02"	(3150.0 -5055.0)
9079.	"L01-L02"	(3330.0 -5235.0)
9080.	"L01-L02"	(2430.0 -3975.0)
9081.	"L01-L02"	(2610.0 -4155.0)
9082.	"L01-L02"	(2430.0 -4335.0)
9083.	"L01-L02"	(3330.0 -4515.0)
9084.	"L01-L02"	(3150.0 -4695.0)
9085.	"L01-L02"	(2610.0 -5235.0)
9086.	"L02-L03"	(2853.0 -3464.5)
9087.	"L02-L03"	(2502.0 -3866.0)
9088.	"L01-L02"	(2430.0 -3795.0)
9089.	"L01-L02"	(2790.0 -3385.5)
9090.	"L01-L02"	(3150.0 -2980.5)
9091.	"L02-L03"	(3087.0 -3059.5)
9092.	"L02-L03"	(3222.0 -3866.0)
9093.	"L01-L02"	(3150.0 -3795.0)
9094.	"L01-L02"	(3330.0 -3385.5)
9095.	"L02-L03"	(2249.0 -3499.5)
9096.	"L01-L02"	(2250.0 -3385.5)
9097.	"L01-L02"	(2610.0 -3183.0)
9098.	"L02-L03"	(2673.0 -3262.0)
9099.	"L03-L04"	(2610.0 -3183.0)
9100.	"L04-L05"	(2610.0 -3011.0)
9101.	"L03-L04"	(2113.0 -3193.0)
9102.	"L02-L03"	(2187.0 -3262.0)
9103.	"L01-L02"	(2250.0 -3183.0)
9104.	"L01-L02"	(2430.0 -2778.0)
9105.	"L02-L03"	(2367.0 -2699.0)
9106.	"L03-L04"	(2222.0 -2699.0)
9107.	"L01-L02"	(2970.0 -3183.0)
9108.	"L02-L03"	(3033.0 -3262.0)
9109.	"L03-L04"	(2970.0 -3183.0)
9110.	"L04-L05"	(2970.0 -3011.0)
9111.	"L01-L02"	(3330.0 -3183.0)
9112.	"L03-L04"	(3330.0 -3183.0)
9113.	"L04-L05"	(3330.0 -3011.0)
9114.	"L06-L07"	(2500.0 -2825.55)
9115.	"L06-L07"	(2250.0 -2750.0)
9116.	"L06-L07"	(3174.45 -3500.0)
9117.	"L06-L07"	(3250.0 -3750.0)
9118.	"L08-L09"	(2106.0 -2894.0)
9119.	"L09-L10"	(2178.0 -2822.0)
9120.	"L07-L08"	(2178.0 -2822.0)
9121.	"L09-L10"	(2500.0 -2878.55)
9122.	"L08-L09"	(2500.0 -2747.49)
9123.	"L07-L08"	(2406.61 -2786.52)
9124.	"L08-L09"	(3106.0 -3894.0)
9125.	"L09-L10"	(3178.0 -3822.0)
9126.	"L07-L08"	(3178.0 -3822.0)
9127.	"L09-L10"	(3121.45 -3500.0)
9128.	"L08-L09"	(3252.51 -3500.0)
9129.	"L07-L08"	(3213.48 -3406.61)
9130.	"L01-L02"	(3330.0 -3795.0)
9131.	"L06-L07"	(3250.0 -2750.0)
9132.	"L06-L07"	(2174.45 -3500.0)
9133.	"L06-L07"	(2750.0 -3250.0)
9134.	"L06-L07"	(2500.0 -3174.45)
9135.	"L06-L07"	(2825.55 -3500.0)
9136.	"L06-L07"	(2500.0 -3825.55)
9137.	"L06-L07"	(2250.0 -3750.0)
9138.	"L08-L09"	(3106.0 -2894.0)
9139.	"L07-L08"	(3178.0 -2822.0)
9140.	"L07-L08"	(2822.0 -3178.0)
9141.	"L08-L09"	(2894.0 -3106.0)
9142.	"L08-L09"	(2106.0 -3894.0)
9143.	"L07-L08"	(2178.0 -3822.0)
9144.	"L09-L10"	(2878.55 -3500.0)
9145.	"L09-L10"	(2500.0 -3878.55)
9146.	"L09-L10"	(2121.45 -3500.0)
9147.	"L09-L10"	(2500.0 -3121.45)
9148.	"L08-L09"	(2500.0 -3747.49)
9149.	"L08-L09"	(2500.0 -3252.51)
9150.	"L08-L09"	(2252.51 -3500.0)
9151.	"L08-L09"	(2747.49 -3500.0)
9152.	"L07-L08"	(2593.39 -3213.48)
9153.	"L07-L08"	(2786.52 -3593.39)
9154.	"L07-L08"	(2213.48 -3406.61)
9155.	"L07-L08"	(2406.61 -3786.52)
9156.	"L01-L02"	(2970.0 -3385.5)
9157.	"L01-L02"	(2610.0 -3795.0)
9158.	"L01-L02"	(3150.0 -3615.0)
9159.	"L01-L02"	(2430.0 -3385.5)
9160.	"L01-L02"	(2430.0 -3615.0)
9161.	"L03-L04"	(3096.0 -2822.5)
9162.	"L02-L03"	(3033.0 -2901.5)
9163.	"L01-L02"	(2970.0 -2980.5)
9164.	"L03-L04"	(2790.0 -2980.5)
9165.	"L02-L03"	(2727.0 -3059.5)
9166.	"L01-L02"	(2790.0 -2980.5)
9167.	"L02-L03"	(2874.0 -3110.0)
9168.	"L01-L02"	(2790.0 -3183.0)
9169.	"L02-L03"	(3234.0 -3110.0)
9170.	"L01-L02"	(3150.0 -3183.0)
9171.	"L02-L03"	(2547.0 -2699.0)
9172.	"L01-L02"	(2610.0 -2778.0)
9173.	"L02-L03"	(2907.0 -2699.0)
9174.	"L01-L02"	(2970.0 -2778.0)
9175.	"L02-L03"	(3234.0 -2745.0)
9176.	"L01-L02"	(3330.0 -2778.0)
9177.	"L02-L03"	(2493.0 -3262.0)
9178.	"L01-L02"	(2430.0 -3183.0)
9179.	"L02-L03"	(2167.0 -2849.0)
9180.	"L01-L02"	(2250.0 -2778.0)
9181.	"L03-L04"	(2731.0 -2791.0)
9182.	"L02-L03"	(2673.0 -2901.5)
9183.	"L01-L02"	(2610.0 -2980.5)
9184.	"L01-L02"	(3330.0 -2980.5)
9185.	"L01-L02"	(2430.0 -2980.5)
9186.	"L02-L03"	(2367.0 -3059.5)
9187.	"L03-L04"	(2463.0 -3101.5)
9188.	"L01-L02"	(2250.0 -2980.5)
9189.	"L02-L03"	(2313.0 -2901.5)
9190.	"L03-L04"	(2434.0 -2819.5)
9191.	"L01-L02"	(2610.0 -3385.5)
9192.	"L02-L03"	(2673.0 -3464.5)
9193.	"L03-L04"	(2610.0 -3385.5)
9194.	"L04-L05"	(2612.0 -3610.0)
9195.	"L02-L03"	(3213.0 -3464.5)
9196.	"L03-L04"	(3150.0 -3385.5)
9197.	"L04-L05"	(3150.0 -3284.5)
9198.	"L01-L02"	(3150.0 -3385.5)
9199.	"L01-L02"	(3150.0 -1968.0)
9200.	"L01-L02"	(3150.0 -1568.0)
9201.	"L01-L02"	(2790.0 -1968.0)
9202.	"L01-L02"	(2790.0 -1568.0)
9203.	"L06-L07"	(3174.45 -1500.0)
9204.	"L06-L07"	(3250.0 -1750.0)
9205.	"L06-L07"	(2174.45 -2500.0)
9206.	"L06-L07"	(2750.0 -2250.0)
9207.	"L06-L07"	(2500.0 -2174.45)
9208.	"L06-L07"	(2825.55 -2500.0)
9209.	"L08-L09"	(3106.0 -1894.0)
9210.	"L09-L10"	(3178.0 -1822.0)
9211.	"L07-L08"	(3178.0 -1822.0)
9212.	"L07-L08"	(2822.0 -2178.0)
9213.	"L09-L10"	(2822.0 -2178.0)
9214.	"L08-L09"	(2894.0 -2106.0)
9215.	"L09-L10"	(3121.45 -1500.0)
9216.	"L08-L09"	(3252.51 -1500.0)
9217.	"L07-L08"	(3213.48 -1406.61)
9218.	"L09-L10"	(2121.45 -2500.0)
9219.	"L09-L10"	(2878.55 -2500.0)
9220.	"L09-L10"	(2500.0 -2121.45)
9221.	"L08-L09"	(2747.49 -2500.0)
9222.	"L08-L09"	(2500.0 -2252.51)
9223.	"L08-L09"	(2252.51 -2500.0)
9224.	"L07-L08"	(2213.48 -2406.61)
9225.	"L07-L08"	(2786.52 -2593.39)
9226.	"L07-L08"	(2593.39 -2213.48)
9227.	"L04-L05"	(2605.0 -1440.0)
9228.	"L06-L07"	(2174.45 -1500.0)
9229.	"L06-L07"	(2825.55 -1500.0)
9230.	"L06-L07"	(2500.0 -1825.55)
9231.	"L06-L07"	(2250.0 -1750.0)
9232.	"L06-L07"	(3174.45 -2500.0)
9233.	"L09-L10"	(3121.45 -2500.0)
9234.	"L08-L09"	(3252.51 -2500.0)
9235.	"L07-L08"	(3213.48 -2406.61)
9236.	"L08-L09"	(2106.0 -1894.0)
9237.	"L07-L08"	(2178.0 -1822.0)
9238.	"L09-L10"	(2878.55 -1500.0)
9239.	"L09-L10"	(2500.0 -1878.55)
9240.	"L09-L10"	(2121.45 -1500.0)
9241.	"L08-L09"	(2500.0 -1747.49)
9242.	"L08-L09"	(2252.51 -1500.0)
9243.	"L08-L09"	(2747.49 -1500.0)
9244.	"L07-L08"	(2786.52 -1593.39)
9245.	"L07-L08"	(2213.48 -1406.61)
9246.	"L07-L08"	(2406.61 -1786.52)
9247.	"L03-L04"	(3150.0 -2575.5)
9248.	"L02-L03"	(3087.0 -2654.5)
9249.	"L01-L02"	(3150.0 -2575.5)
9250.	"L03-L04"	(2790.0 -2575.5)
9251.	"L02-L03"	(2727.0 -2654.5)
9252.	"L01-L02"	(2790.0 -2575.5)
9253.	"L01-L02"	(2250.0 -1968.0)
9254.	"L03-L04"	(2430.0 -2373.0)
9255.	"L02-L03"	(2367.0 -2452.0)
9256.	"L01-L02"	(2430.0 -2373.0)
9257.	"L03-L04"	(3096.0 -2417.5)
9258.	"L02-L03"	(3033.0 -2496.5)
9259.	"L01-L02"	(2970.0 -2575.5)
9260.	"L03-L04"	(2742.0 -2408.5)
9261.	"L02-L03"	(2673.0 -2496.5)
9262.	"L01-L02"	(2610.0 -2575.5)
9263.	"L01-L02"	(2610.0 -2170.5)
9264.	"L01-L02"	(2430.0 -1968.0)
9265.	"L02-L03"	(2970.0 -1867.0)
9266.	"L01-L02"	(2970.0 -1968.0)
9267.	"L02-L03"	(3330.0 -1867.0)
9268.	"L01-L02"	(3330.0 -1968.0)
9269.	"L02-L03"	(2250.0 -1664.5)
9270.	"L01-L02"	(2250.0 -1765.5)
9271.	"L02-L03"	(2610.0 -1867.0)
9272.	"L01-L02"	(2610.0 -1968.0)
9273.	"L02-L03"	(2367.0 -2091.5)
9274.	"L01-L02"	(2430.0 -2170.5)
9275.	"L02-L03"	(2853.0 -2294.0)
9276.	"L01-L02"	(2790.0 -2373.0)
9277.	"L02-L03"	(3087.0 -2294.0)
9278.	"L01-L02"	(3150.0 -2373.0)
9279.	"L02-L03"	(2181.0 -2491.5)
9280.	"L01-L02"	(2250.0 -2575.5)
9281.	"L01-L02"	(3330.0 -2170.5)
9282.	"L01-L02"	(3330.0 -2575.5)
9283.	"L01-L02"	(2790.0 -2170.5)
9284.	"L01-L02"	(2970.0 -2170.5)
9285.	"L01-L02"	(3150.0 -2170.5)
9286.	"L01-L02"	(2250.0 -2373.0)
9287.	"L04-L05"	(2305.0 -1215.0)
9288.	"L04-L05"	(3005.0 -175.0)
9289.	"L01-L02"	(2350.0 -125.0)
9290.	"L06-L07"	(2174.45 -500.0)
9291.	"L06-L07"	(2750.0 -250.0)
9292.	"L06-L07"	(2500.0 -174.45)
9293.	"L06-L07"	(2825.55 -500.0)
9294.	"L06-L07"	(2500.0 -825.55)
9295.	"L06-L07"	(2250.0 -750.0)
9296.	"L07-L08"	(2822.0 -178.0)
9297.	"L09-L10"	(2822.0 -178.0)
9298.	"L08-L09"	(2894.0 -106.0)
9299.	"L09-L10"	(2121.45 -500.0)
9300.	"L09-L10"	(2500.0 -878.55)
9301.	"L09-L10"	(2878.55 -500.0)
9302.	"L09-L10"	(2500.0 -121.45)
9303.	"L08-L09"	(2500.0 -747.49)
9304.	"L08-L09"	(2747.49 -500.0)
9305.	"L08-L09"	(2500.0 -252.51)
9306.	"L08-L09"	(2252.51 -500.0)
9307.	"L07-L08"	(2213.48 -406.61)
9308.	"L07-L08"	(2786.52 -593.39)
9309.	"L07-L08"	(2406.61 -786.52)
9310.	"L07-L08"	(2593.39 -213.48)
9311.	"L08-L09"	(2106.0 -894.0)
9312.	"L09-L10"	(2178.0 -822.0)
9313.	"L07-L08"	(2178.0 -822.0)
9314.	"L06-L07"	(3174.45 -500.0)
9315.	"L06-L07"	(3250.0 -750.0)
9316.	"L06-L07"	(2750.0 -1250.0)
9317.	"L06-L07"	(2500.0 -1174.45)
9318.	"L08-L09"	(3106.0 -894.0)
9319.	"L07-L08"	(3178.0 -822.0)
9320.	"L07-L08"	(2822.0 -1178.0)
9321.	"L08-L09"	(2894.0 -1106.0)
9322.	"L09-L10"	(3121.45 -500.0)
9323.	"L08-L09"	(3252.51 -500.0)
9324.	"L07-L08"	(3213.48 -406.61)
9325.	"L09-L10"	(2500.0 -1121.45)
9326.	"L08-L09"	(2500.0 -1252.51)
9327.	"L07-L08"	(2593.39 -1213.48)
9328.	"L02-L03"	(2509.0 -357.0)
9329.	"L02-L03"	(2813.5 -562.0)
9330.	"L04-L05"	(3355.0 570.0)
9331.	"L01-L02"	(2625.0 275.0)
9332.	"L06-L07"	(3174.45 500.0)
9333.	"L06-L07"	(3250.0 250.0)
9334.	"L08-L09"	(3106.0 106.0)
9335.	"L09-L10"	(3178.0 178.0)
9336.	"L07-L08"	(3178.0 178.0)
9337.	"L09-L10"	(3121.45 500.0)
9338.	"L08-L09"	(3252.51 500.0)
9339.	"L07-L08"	(3213.48 593.39)
9340.	"L04-L05"	(2740.0 770.0)
9341.	"L06-L07"	(2174.45 500.0)
9342.	"L06-L07"	(2750.0 750.0)
9343.	"L06-L07"	(2500.0 825.55)
9344.	"L06-L07"	(2825.55 500.0)
9345.	"L06-L07"	(2500.0 174.45)
9346.	"L06-L07"	(2250.0 250.0)
9347.	"L07-L08"	(2822.0 822.0)
9348.	"L08-L09"	(2894.0 894.0)
9349.	"L08-L09"	(2106.0 106.0)
9350.	"L07-L08"	(2178.0 178.0)
9351.	"L09-L10"	(2878.55 500.0)
9352.	"L09-L10"	(2500.0 121.45)
9353.	"L09-L10"	(2121.45 500.0)
9354.	"L09-L10"	(2500.0 878.55)
9355.	"L08-L09"	(2500.0 252.51)
9356.	"L08-L09"	(2500.0 747.49)
9357.	"L08-L09"	(2252.51 500.0)
9358.	"L08-L09"	(2747.49 500.0)
9359.	"L07-L08"	(2593.39 786.52)
9360.	"L07-L08"	(2786.52 406.61)
9361.	"L07-L08"	(2213.48 593.39)
9362.	"L07-L08"	(2406.61 213.48)
9363.	"L02-L03"	(2943.0 250.0)
9364.	"L03-L04"	(2777.0 419.0)
9365.	"L02-L03"	(2777.0 568.0)
9366.	"L03-L04"	(3176.0 443.0)
9367.	"L02-L03"	(3176.0 594.0)
9368.	"L04-L05"	(3470.0 -16875.0)
9369.	"L04-L05"	(3975.0 -15905.0)
9370.	"L08-L10"	(3945.0 -16761.0)
9371.	"L08-L10"	(4275.0 -16987.0)
9372.	"L09-L10"	(3770.0 -15770.0)
9373.	"L08-L09"	(3705.0 -15690.0)
9374.	"L03-L04"	(3645.0 -15746.0)
9375.	"L04-L05"	(3645.0 -15645.0)
9376.	"L01-L02"	(3645.0 -15746.0)
9377.	"L02-L03"	(3645.0 -15645.0)
9378.	"L07-L08"	(3620.0 -15750.0)
9379.	"L06-L07"	(3645.0 -15645.0)
9380.	"L06-L07"	(4645.0 -16355.0)
9381.	"L01-L02"	(4645.0 -16456.0)
9382.	"L02-L03"	(4645.0 -16355.0)
9383.	"L04-L05"	(4645.0 -16355.0)
9384.	"L02-L03"	(4355.0 -16355.0)
9385.	"L01-L02"	(4355.0 -16456.0)
9386.	"L03-L04"	(4355.0 -16456.0)
9387.	"L03-L04"	(4355.0 -16746.0)
9388.	"L07-L08"	(4380.0 -16250.0)
9389.	"L06-L07"	(4355.0 -16355.0)
9390.	"L04-L05"	(4355.0 -16355.0)
9391.	"SMALL_PTH"	(4500.0 -16500.0)
9392.	"L04-L05"	(4355.0 -16645.0)
9393.	"L07-L08"	(4223.0 -16511.0)
9394.	"L06-L07"	(4355.0 -16645.0)
9395.	"L08-L09"	(4105.0 -16592.0)
9396.	"L09-L10"	(4230.0 -16770.0)
9397.	"L09-L10"	(4230.0 -16230.0)
9398.	"L08-L09"	(4295.0 -16310.0)
9399.	"L03-L04"	(4645.0 -16746.0)
9400.	"L04-L05"	(4645.0 -16645.0)
9401.	"L01-L02"	(4645.0 -16746.0)
9402.	"L02-L03"	(4645.0 -16645.0)
9403.	"L01-L02"	(4355.0 -16746.0)
9404.	"L02-L03"	(4355.0 -16645.0)
9405.	"L03-L04"	(4645.0 -16456.0)
9406.	"L07-L08"	(4620.0 -16750.0)
9407.	"L06-L07"	(4645.0 -16645.0)
9408.	"L07-L08"	(4620.0 -15750.0)
9409.	"L09-L10"	(4230.0 -15770.0)
9410.	"L08-L09"	(4315.0 -15705.0)
9411.	"L07-L08"	(4250.0 -15620.0)
9412.	"L07-L08"	(3750.0 -16380.0)
9413.	"L06-L07"	(3645.0 -16355.0)
9414.	"L06-L07"	(3645.0 -16645.0)
9415.	"L08-L09"	(3690.0 -16295.0)
9416.	"L09-L10"	(3770.0 -16770.0)
9417.	"L08-L09"	(3705.0 -16690.0)
9418.	"L09-L10"	(3770.0 -16230.0)
9419.	"L07-L08"	(3620.0 -16750.0)
9420.	"L03-L04"	(3645.0 -16746.0)
9421.	"L04-L05"	(3645.0 -16645.0)
9422.	"L03-L04"	(3645.0 -16456.0)
9423.	"L04-L05"	(3645.0 -16355.0)
9424.	"L07-L08"	(3380.0 -16250.0)
9425.	"SMALL_PTH"	(4000.0 -15500.0)
9426.	"L04-L05"	(3865.0 -14800.0)
9427.	"L01-L02"	(4025.0 -15200.0)
9428.	"L08-L10"	(4051.0 -15318.0)
9429.	"L08-L10"	(4521.0 -14931.0)
9430.	"L08-L10"	(3823.0 -14837.0)
9431.	"L06-L07"	(4645.0 -14355.0)
9432.	"L01-L02"	(4645.0 -14456.0)
9433.	"L02-L03"	(4645.0 -14355.0)
9434.	"L04-L05"	(4679.0 -14326.0)
9435.	"L02-L03"	(4355.0 -14355.0)
9436.	"L01-L02"	(4355.0 -14456.0)
9437.	"L03-L04"	(4251.0 -14335.0)
9438.	"L03-L04"	(4240.0 -14676.0)
9439.	"L06-L07"	(4355.0 -14355.0)
9440.	"L04-L05"	(4356.0 -14333.0)
9441.	"SMALL_PTH"	(4500.0 -14500.0)
9442.	"L04-L05"	(4352.0 -14677.0)
9443.	"L07-L08"	(4413.0 -14765.0)
9444.	"L06-L07"	(4355.0 -14645.0)
9445.	"L08-L09"	(4315.0 -14705.0)
9446.	"L09-L10"	(4230.0 -14770.0)
9447.	"L04-L05"	(4645.0 -14645.0)
9448.	"L01-L02"	(4645.0 -14746.0)
9449.	"L02-L03"	(4645.0 -14645.0)
9450.	"L01-L02"	(4355.0 -14746.0)
9451.	"L02-L03"	(4355.0 -14645.0)
9452.	"L07-L08"	(4620.0 -14750.0)
9453.	"L06-L07"	(4645.0 -14645.0)
9454.	"L09-L10"	(3770.0 -15230.0)
9455.	"L08-L09"	(3690.0 -15295.0)
9456.	"L07-L08"	(3750.0 -15380.0)
9457.	"L06-L07"	(3645.0 -15355.0)
9458.	"L01-L02"	(3645.0 -15456.0)
9459.	"L02-L03"	(3645.0 -15355.0)
9460.	"L04-L05"	(3645.0 -15355.0)
9461.	"L03-L04"	(3645.0 -15456.0)
9462.	"L08-L09"	(4295.0 -15310.0)
9463.	"L07-L08"	(4380.0 -15250.0)
9464.	"L09-L10"	(4230.0 -15230.0)
9465.	"L02-L03"	(3401.0 -14368.0)
9466.	"L03-L04"	(3955.0 -15036.0)
9467.	"L02-L03"	(4067.0 -15036.0)
9468.	"L07-L08"	(4137.0 -15057.0)
9469.	"L06-L07"	(4000.0 -15216.0)
9470.	"L04-L05"	(4048.0 -15275.0)
9471.	"L03-L04"	(4418.0 -15085.0)
9472.	"L02-L03"	(4287.0 -15135.0)
9473.	"L04-L05"	(3960.0 -13350.0)
9474.	"L04-L05"	(4495.0 -13310.0)
9475.	"L01-L02"	(3925.0 -14125.0)
9476.	"L08-L10"	(3812.0 -13965.0)
9477.	"L08-L10"	(4203.0 -13955.0)
9478.	"L07-L08"	(4380.0 -14250.0)
9479.	"L09-L10"	(4230.0 -14230.0)
9480.	"L08-L09"	(4295.0 -14310.0)
9481.	"L09-L10"	(3881.84 -13500.0)
9482.	"L08-L09"	(3762.77 -13499.86)
9483.	"L09-L10"	(4118.16 -13500.0)
9484.	"L08-L09"	(4232.23 -13500.14)
9485.	"L07-L08"	(3380.0 -14250.0)
9486.	"L04-L05"	(3850.0 -12875.0)
9487.	"L04-L05"	(4270.0 -12185.0)
9488.	"L08-L10"	(3803.0 -11990.0)
9489.	"L01-L02"	(3690.0 -12556.5)
9490.	"L01-L02"	(3690.0 -12354.0)
9491.	"L09-L10"	(3770.0 -11770.0)
9492.	"L08-L10"	(3938.0 -12706.0)
9493.	"L08-L10"	(4238.0 -13014.0)
9494.	"L04-L05"	(4735.0 -11705.0)
9495.	"L04-L05"	(3875.0 -11755.0)
9496.	"L04-L05"	(3515.0 -11765.0)
9497.	"L09-L10"	(3881.84 -12500.0)
9498.	"L08-L09"	(3777.77 -12501.86)
9499.	"L09-L10"	(4118.16 -12500.0)
9500.	"L08-L09"	(4230.23 -12498.14)
9501.	"L02-L03"	(3510.0 -12455.0)
9502.	"L01-L02"	(3510.0 -12354.0)
9503.	"L02-L03"	(4230.0 -12455.0)
9504.	"L01-L02"	(4230.0 -12354.0)
9505.	"L02-L03"	(4410.0 -12455.5)
9506.	"L01-L02"	(4410.0 -12556.5)
9507.	"L02-L03"	(4050.0 -12455.5)
9508.	"L01-L02"	(4050.0 -12556.5)
9509.	"L01-L02"	(3870.0 -12556.5)
9510.	"L02-L03"	(3870.0 -12455.0)
9511.	"L01-L02"	(3870.0 -12354.0)
9512.	"L01-L02"	(4410.0 -11949.0)
9513.	"L02-L03"	(4473.0 -12028.0)
9514.	"L01-L02"	(4050.0 -11949.0)
9515.	"L02-L03"	(4113.0 -12028.0)
9516.	"L01-L02"	(3690.0 -11949.0)
9517.	"L02-L03"	(3753.0 -12028.0)
9518.	"L02-L03"	(3393.0 -12028.0)
9519.	"L01-L02"	(4590.0 -12354.0)
9520.	"L02-L03"	(4590.0 -12455.0)
9521.	"SMALL_PTH"	(4500.0 -11500.0)
9522.	"L03-L04"	(3690.0 -11746.5)
9523.	"L01-L02"	(3690.0 -11746.5)
9524.	"L03-L04"	(3996.0 -11904.5)
9525.	"L02-L03"	(3933.0 -11825.5)
