Reference_name,Ubump_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
UBUMP,ve_ucie32b_txdata[1],298.38,266.56,R0,ve_ucie32b_txdata[1],ve_ucie32b_txdata[1]
UBUMP,ve_vss_11,362.02,266.56,R0,vss,vss
UBUMP,ve_ucie32b_rxdata[2],12,298.38,R0,ve_ucie32b_rxdata[2],ve_ucie32b_rxdata[2]
UBUMP,ve_ucie32b_rxdata[19],75.64,298.38,R0,ve_ucie32b_rxdata[19],ve_ucie32b_rxdata[19]
UBUMP,ve_ucie32b_rxckRD,139.28,298.38,R0,ve_ucie32b_rxckRD,ve_ucie32b_rxckRD
UBUMP,ve_ucie32b_txdata[27],202.92,298.38,R0,ve_ucie32b_txdata[27],ve_ucie32b_txdata[27]
UBUMP,ve_ucie32b_txdata[10],266.56,298.38,R0,ve_ucie32b_txdata[10],ve_ucie32b_txdata[10]
UBUMP,ve_vss_12,330.2,298.38,R0,vss,vss
UBUMP,ve_vccfwdio_5,43.82,330.2,R0,vccfwdio,vccfwdio
UBUMP,ve_vccfwdio_6,107.46,330.2,R0,vccfwdio,vccfwdio
UBUMP,ve_vccio_6,171.1,330.2,R0,vccio,vccio
UBUMP,ve_vccio_7,234.74,330.2,R0,vccio,vccio
UBUMP,ve_vccio_8,298.38,330.2,R0,vccio,vccio
UBUMP,ve_vss_13,362.02,330.2,R0,vss,vss
UBUMP,ve_vss_14,12,362.02,R0,vss,vss
UBUMP,ve_ucie32b_rxdata[18],75.64,362.02,R0,ve_ucie32b_rxdata[18],ve_ucie32b_rxdata[18]
UBUMP,ve_ucie32b_rxtrk,139.28,362.02,R0,ve_ucie32b_rxtrk,ve_ucie32b_rxtrk
UBUMP,ve_vss_15,202.92,362.02,R0,vss,vss
UBUMP,ve_ucie32b_txdata[9],266.56,362.02,R0,ve_ucie32b_txdata[9],ve_ucie32b_txdata[9]
UBUMP,ve_vddc_0,330.2,362.02,R0,vddc,vddc
UBUMP,ve_ucie32b_rxdata[9],43.82,393.84,R0,ve_ucie32b_rxdata[9],ve_ucie32b_rxdata[9]
UBUMP,ve_ucie32b_rxdata[25],107.46,393.84,R0,ve_ucie32b_rxdata[25],ve_ucie32b_rxdata[25]
UBUMP,ve_ucie32b_txvld,171.1,393.84,R0,ve_ucie32b_txvld,ve_ucie32b_txvld
UBUMP,ve_ucie32b_txdata[17],234.74,393.84,R0,ve_ucie32b_txdata[17],ve_ucie32b_txdata[17]
UBUMP,ve_ucie32b_txdata[2],298.38,393.84,R0,ve_ucie32b_txdata[2],ve_ucie32b_txdata[2]
UBUMP,ve_vss_16,362.02,393.84,R0,vss,vss
UBUMP,ve_ucie32b_rxdata[1],12,425.66,R0,ve_ucie32b_rxdata[1],ve_ucie32b_rxdata[1]
UBUMP,ve_ucie32b_rxdata[17],75.64,425.66,R0,ve_ucie32b_rxdata[17],ve_ucie32b_rxdata[17]
UBUMP,ve_vss_17,139.28,425.66,R0,vss,vss
UBUMP,ve_ucie32b_txdata[26],202.92,425.66,R0,ve_ucie32b_txdata[26],ve_ucie32b_txdata[26]
UBUMP,ve_vss_18,266.56,425.66,R0,vss,vss
UBUMP,ve_gpio[2],330.2,425.66,R0,ve_gpio[2],ve_gpio[2]
UBUMP,ve_vss_19,43.82,457.48,R0,vss,vss
UBUMP,ve_ucie32b_rxdata[26],107.46,457.48,R0,ve_ucie32b_rxdata[26],ve_ucie32b_rxdata[26]
UBUMP,ve_vss_20,171.1,457.48,R0,vss,vss
UBUMP,ve_ucie32b_txdata[18],234.74,457.48,R0,ve_ucie32b_txdata[18],ve_ucie32b_txdata[18]
UBUMP,ve_ucie32b_txdata[3],298.38,457.48,R0,ve_ucie32b_txdata[3],ve_ucie32b_txdata[3]
UBUMP,ve_vss_21,362.02,457.48,R0,vss,vss
UBUMP,ve_ucie32b_rxdata[0],12,489.3,R0,ve_ucie32b_rxdata[0],ve_ucie32b_rxdata[0]
UBUMP,ve_ucie32b_rxdata[16],75.64,489.3,R0,ve_ucie32b_rxdata[16],ve_ucie32b_rxdata[16]
UBUMP,ve_ucie32b_rxvld,139.28,489.3,R0,ve_ucie32b_rxvld,ve_ucie32b_rxvld
UBUMP,ve_ucie32b_txdata[25],202.92,489.3,R0,ve_ucie32b_txdata[25],ve_ucie32b_txdata[25]
UBUMP,ve_ucie32b_txdata[8],266.56,489.3,R0,ve_ucie32b_txdata[8],ve_ucie32b_txdata[8]
UBUMP,ve_gpio[4],330.2,489.3,R0,ve_gpio[4],ve_gpio[4]
UBUMP,ve_ucie32b_rxdata[10],43.82,521.12,R0,ve_ucie32b_rxdata[10],ve_ucie32b_rxdata[10]
UBUMP,ve_ucie32b_rxdata[27],107.46,521.12,R0,ve_ucie32b_rxdata[27],ve_ucie32b_rxdata[27]
UBUMP,ve_ucie32b_txtrk,171.1,521.12,R0,ve_ucie32b_txtrk,ve_ucie32b_txtrk
UBUMP,ve_ucie32b_txdata[19],234.74,521.12,R0,ve_ucie32b_txdata[19],ve_ucie32b_txdata[19]
UBUMP,ve_vss_22,298.38,521.12,R0,vss,vss
UBUMP,ve_vss_23,362.02,521.12,R0,vss,vss
UBUMP,ve_vss_24,12,552.94,R0,vss,vss
UBUMP,ve_vss_25,75.64,552.94,R0,vss,vss
UBUMP,ve_ucie32b_rxvldRD,139.28,552.94,R0,ve_ucie32b_rxvldRD,ve_ucie32b_rxvldRD
UBUMP,ve_ucie32b_txdata[24],202.92,552.94,R0,ve_ucie32b_txdata[24],ve_ucie32b_txdata[24]
UBUMP,ve_ucie32b_txdata[7],266.56,552.94,R0,ve_ucie32b_txdata[7],ve_ucie32b_txdata[7]
UBUMP,ve_gpio[6],330.2,552.94,R0,ve_gpio[6],ve_gpio[6]
UBUMP,ve_ucie32b_rxdata[11],43.82,584.76,R0,ve_ucie32b_rxdata[11],ve_ucie32b_rxdata[11]
UBUMP,ve_ucie32b_rxdata[28],107.46,584.76,R0,ve_ucie32b_rxdata[28],ve_ucie32b_rxdata[28]
UBUMP,ve_ucie32b_txckRD,171.1,584.76,R0,ve_ucie32b_txckRD,ve_ucie32b_txckRD
UBUMP,ve_vss_26,234.74,584.76,R0,vss,vss
UBUMP,ve_ucie32b_txdata[4],298.38,584.76,R0,ve_ucie32b_txdata[4],ve_ucie32b_txdata[4]
UBUMP,ve_vss_27,362.02,584.76,R0,vss,vss
UBUMP,ve_ucie32b_rxdataRD[0],12,616.58,R0,ve_ucie32b_rxdataRD[0],ve_ucie32b_rxdataRD[0]
UBUMP,ve_ucie32b_rxdata[15],75.64,616.58,R0,ve_ucie32b_rxdata[15],ve_ucie32b_rxdata[15]
UBUMP,ve_ucie32b_rxdataRD[1],139.28,616.58,R0,ve_ucie32b_rxdataRD[1],ve_ucie32b_rxdataRD[1]
UBUMP,ve_vss_28,202.92,616.58,R0,vss,vss
UBUMP,ve_ucie32b_txdata[6],266.56,616.58,R0,ve_ucie32b_txdata[6],ve_ucie32b_txdata[6]
UBUMP,ve_gpio[5],330.2,616.58,R0,ve_gpio[5],ve_gpio[5]
