Reference_name,C4_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
UBUMP,vccio_13,350,1589,R0,vccio_13,vccio
UBUMP,ve_ucie32b_rxcksb,468,1589,R0,ve_ucie32b_rxcksb,ve_ucie32b_rxcksb
UBUMP,ve_ucie32b_rxcksbRD,586,1589,R0,ve_ucie32b_rxcksbRD,ve_ucie32b_rxcksbRD
UBUMP,vss_37,704,1589,R0,vss_37,vss
UBUMP,vss_38,173,1648,R0,vss_38,vss
UBUMP,vccio_14,291,1648,R0,vccio_14,vccio
UBUMP,vccio_15,409,1648,R0,vccio_15,vccio
UBUMP,vss_39,527,1648,R0,vss_39,vss
UBUMP,vss_40,645,1648,R0,vss_40,vss
UBUMP,vss_41,763,1648,R0,vss_41,vss
UBUMP,vss_42,114,1707,R0,vss_42,vss
UBUMP,vss_43,232,1707,R0,vss_43,vss
UBUMP,vccio_16,350,1707,R0,vccio_16,vccio
UBUMP,vccio_17,468,1707,R0,vccio_17,vccio
UBUMP,vss_44,586,1707,R0,vss_44,vss
UBUMP,vss_45,704,1707,R0,vss_45,vss
UBUMP,vss_46,173,1766,R0,vss_46,vss
UBUMP,vccio_18,291,1766,R0,vccio_18,vccio
UBUMP,vccio_19,409,1766,R0,vccio_19,vccio
UBUMP,vss_47,527,1766,R0,vss_47,vss
UBUMP,vss_48,645,1766,R0,vss_48,vss
UBUMP,vss_49,763,1766,R0,vss_49,vss
UBUMP,vss_50,114,1825,R0,vss_50,vss
UBUMP,vss_51,232,1825,R0,vss_51,vss
UBUMP,vccio_20,350,1825,R0,vccio_20,vccio
UBUMP,vccio_21,468,1825,R0,vccio_21,vccio
UBUMP,vss_52,586,1825,R0,vss_52,vss
UBUMP,vccio_22,704,1825,R0,vccio_22,vccio
UBUMP,vss_53,173,1884,R0,vss_53,vss
UBUMP,vss_54,291,1884,R0,vss_54,vss
UBUMP,vss_55,409,1884,R0,vss_55,vss
UBUMP,vss_56,527,1884,R0,vss_56,vss
UBUMP,vss_57,645,1884,R0,vss_57,vss
UBUMP,vss_58,763,1884,R0,vss_58,vss
UBUMP,vss_59,114,1943,R0,vss_59,vss
UBUMP,vss_60,232,1943,R0,vss_60,vss
UBUMP,vss_61,350,1943,R0,vss_61,vss
UBUMP,vss_62,468,1943,R0,vss_62,vss
UBUMP,vss_63,586,1943,R0,vss_63,vss
UBUMP,vddc_1,704,1943,R0,vddc_1,vddc
UBUMP,vss_64,173,2002,R0,vss_64,vss
UBUMP,vccio_23,291,2002,R0,vccio_23,vccio
UBUMP,vccio_24,409,2002,R0,vccio_24,vccio
UBUMP,vccio_25,527,2002,R0,vccio_25,vccio
UBUMP,vccio_26,645,2002,R0,vccio_26,vccio
UBUMP,vss_65,763,2002,R0,vss_65,vss
UBUMP,vss_66,114,2061,R0,vss_66,vss
UBUMP,vss_67,232,2061,R0,vss_67,vss
UBUMP,vss_68,350,2061,R0,vss_68,vss
UBUMP,vss_69,468,2061,R0,vss_69,vss
UBUMP,vss_70,586,2061,R0,vss_70,vss
UBUMP,vss_71,704,2061,R0,vss_71,vss
UBUMP,vccio_27,173,2120,R0,vccio_27,vccio
UBUMP,vccio_28,291,2120,R0,vccio_28,vccio
UBUMP,vccio_29,409,2120,R0,vccio_29,vccio
UBUMP,vccio_30,527,2120,R0,vccio_30,vccio
UBUMP,vccio_31,645,2120,R0,vccio_31,vccio
UBUMP,vss_72,763,2120,R0,vss_72,vss
UBUMP,vss_73,114,2179,R0,vss_73,vss
UBUMP,vss_74,232,2179,R0,vss_74,vss
UBUMP,vss_75,350,2179,R0,vss_75,vss
UBUMP,vss_76,468,2179,R0,vss_76,vss
UBUMP,vss_77,586,2179,R0,vss_77,vss
UBUMP,vdd1p8_0,704,2179,R0,vdd1p8_0,vdd1p8
UBUMP,vccio_32,173,2238,R0,vccio_32,vccio
UBUMP,vccio_33,291,2238,R0,vccio_33,vccio
UBUMP,vccio_34,409,2238,R0,vccio_34,vccio
UBUMP,vccio_35,527,2238,R0,vccio_35,vccio
UBUMP,vccio_36,645,2238,R0,vccio_36,vccio
UBUMP,vss_78,763,2238,R0,vss_78,vss
UBUMP,vss_79,114,2297,R0,vss_79,vss
UBUMP,vss_80,232,2297,R0,vss_80,vss
UBUMP,vss_81,350,2297,R0,vss_81,vss
UBUMP,vss_82,468,2297,R0,vss_82,vss
UBUMP,vss_83,586,2297,R0,vss_83,vss
UBUMP,ve_tap_tck,704,2297,R0,ve_tap_tck,ve_tap_tck
UBUMP,vccio_37,173,2356,R0,vccio_37,vccio
UBUMP,vccio_38,291,2356,R0,vccio_38,vccio
