Reference_name,Ubump_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
UBUMP,ma_ucie64b_txdata[11],330.2,234.74,R0,ma_ucie64b_txdata[11],ma_ucie64b_txdata[11]
UBUMP,ma_vss_10,43.82,266.56,R0,vss,vss
UBUMP,ma_ucie64b_txdata[53],107.46,266.56,R0,ma_ucie64b_txdata[53],ma_ucie64b_txdata[53]
UBUMP,ma_ucie64b_txdata[37],171.1,266.56,R0,ma_ucie64b_txdata[37],ma_ucie64b_txdata[37]
UBUMP,ma_ucie64b_txdataRD[1],234.74,266.56,R0,ma_ucie64b_txdataRD[1],ma_ucie64b_txdataRD[1]
UBUMP,ma_ucie64b_txdata[16],298.38,266.56,R0,ma_ucie64b_txdata[16],ma_ucie64b_txdata[16]
UBUMP,ma_ucie64b_txdata[1],362.02,266.56,R0,ma_ucie64b_txdata[1],ma_ucie64b_txdata[1]
UBUMP,ma_tap_tms,12,298.38,R0,ma_tap_tms,ma_tap_tms
UBUMP,ma_ucie64b_txdata[62],75.64,298.38,R0,ma_ucie64b_txdata[62],ma_ucie64b_txdata[62]
UBUMP,ma_ucie64b_txdata[47],139.28,298.38,R0,ma_ucie64b_txdata[47],ma_ucie64b_txdata[47]
UBUMP,ma_ucie64b_txdataRD[2],202.92,298.38,R0,ma_ucie64b_txdataRD[2],ma_ucie64b_txdataRD[2]
UBUMP,ma_ucie64b_txdata[26],266.56,298.38,R0,ma_ucie64b_txdata[26],ma_ucie64b_txdata[26]
UBUMP,ma_ucie64b_txdata[10],330.2,298.38,R0,ma_ucie64b_txdata[10],ma_ucie64b_txdata[10]
UBUMP,ma_vss_11,43.82,330.2,R0,vss,vss
UBUMP,ma_vccio_11,107.46,330.2,R0,vccio,vccio
UBUMP,ma_vccio_12,171.1,330.2,R0,vccio,vccio
UBUMP,ma_vccio_13,234.74,330.2,R0,vccio,vccio
UBUMP,ma_vccio_14,298.38,330.2,R0,vccio,vccio
UBUMP,ma_vccio_15,362.02,330.2,R0,vccio,vccio
UBUMP,ma_tap_tdo,12,362.02,R0,ma_tap_tdo,ma_tap_tdo
UBUMP,ma_ucie64b_txdata[61],75.64,362.02,R0,ma_ucie64b_txdata[61],ma_ucie64b_txdata[61]
UBUMP,ma_ucie64b_txdata[46],139.28,362.02,R0,ma_ucie64b_txdata[46],ma_ucie64b_txdata[46]
UBUMP,ma_vss_12,202.92,362.02,R0,vss,vss
UBUMP,ma_ucie64b_txdata[25],266.56,362.02,R0,ma_ucie64b_txdata[25],ma_ucie64b_txdata[25]
UBUMP,ma_ucie64b_txdata[9],330.2,362.02,R0,ma_ucie64b_txdata[9],ma_ucie64b_txdata[9]
UBUMP,ma_vccio_16,43.82,393.84,R0,vccio,vccio
UBUMP,ma_ucie64b_txdata[54],107.46,393.84,R0,ma_ucie64b_txdata[54],ma_ucie64b_txdata[54]
UBUMP,ma_ucie64b_txdata[38],171.1,393.84,R0,ma_ucie64b_txdata[38],ma_ucie64b_txdata[38]
UBUMP,ma_vccio_17,234.74,393.84,R0,vccio,vccio
UBUMP,ma_ucie64b_txdata[17],298.38,393.84,R0,ma_ucie64b_txdata[17],ma_ucie64b_txdata[17]
UBUMP,ma_ucie64b_txdata[2],362.02,393.84,R0,ma_ucie64b_txdata[2],ma_ucie64b_txdata[2]
UBUMP,ma_tap_rst,12,425.66,R0,ma_tap_rst,ma_tap_rst
